Class	Feature	Mean	Standard Deviation
normal	174	0.0000014093	0.0251375175
normal	175	-0.0003069191	0.0225016194
normal	176	-0.0006087308	0.0219721079
normal	177	-0.0004605232	0.0158795847
normal	178	0.0003685915	0.0226068427
normal	179	-0.0004307558	0.0203855409
normal	180	0.0002108795	0.0180351986
normal	181	0.0004015283	0.0219739744
normal	182	-0.0003176693	0.0220594182
normal	183	-0.0011455420	0.0216767535
normal	184	0.0013071741	0.0219984346
crackle	1	-0.4362623251	1.2010696487
crackle	2	-0.1735678430	0.8186710121
crackle	3	-0.0225990061	0.7296048041
crackle	4	-0.0650686709	0.5571131399
crackle	5	0.0629854050	0.4736886933
crackle	6	0.0003781256	0.4859402547
crackle	7	0.0864538185	0.4120227855
crackle	8	-0.0374192666	0.3383548992
crackle	9	0.0457558754	0.3269809567
crackle	10	-0.0289731569	0.3143511591
crackle	11	-0.0278808682	0.2699831907
crackle	12	-0.0091081722	0.2695175955
crackle	13	0.0086363707	0.2688424254
crackle	14	-0.0617114128	0.2383967657
crackle	15	0.0225241579	0.2331767102
crackle	16	-0.0015579764	0.2173750416
crackle	17	0.0084930210	0.2216358162
crackle	18	-0.0066784745	0.1959174432
crackle	19	-0.0030201608	0.2090324560
crackle	20	0.0014400080	0.1919021671
crackle	21	0.0008496732	0.1841605118
crackle	22	0.0218039353	0.1878101749
crackle	23	0.0152499767	0.1760888735
crackle	24	0.0007032403	0.1765544645
crackle	25	-0.0019309512	0.1673287417
crackle	26	-0.0023281050	0.1649379344
crackle	27	-0.0079214943	0.1525189460
crackle	28	-0.0298674865	0.1484560405
crackle	29	0.0075705520	0.1428482707
crackle	30	-0.0158172303	0.1409072685
crackle	31	0.0076234919	0.1445202621
crackle	32	-0.0008866512	0.1446900577
crackle	33	0.0034635237	0.1413199501
crackle	34	0.0008415853	0.1420545333
crackle	35	-0.0060642041	0.1328709931
crackle	36	-0.0035652573	0.1325791236
crackle	37	-0.0026544756	0.1318207921
crackle	38	0.0026488157	0.1283085953
crackle	39	-0.0010409845	0.1301468798
crackle	40	-0.0002424164	0.1317735507
crackle	41	0.0001843057	0.1192364053
crackle	42	0.0027586975	0.1257610736
crackle	43	0.0049450558	0.1260213961
crackle	44	-0.0019060052	0.1182092267
crackle	45	0.0039431454	0.1165147637
crackle	46	-0.0024964793	0.1207209110
crackle	47	-0.0027447417	0.1155668432
crackle	48	-0.0003755216	0.1180675625
crackle	49	-0.0016266991	0.1163380852
crackle	50	-0.0021093290	0.1183163391
crackle	51	0.0002024475	0.1143399541
crackle	52	0.0048181432	0.1175271239
crackle	53	-0.0001315151	0.1129066297
crackle	54	-0.0026786900	0.1140471598
crackle	55	0.0008724156	0.1139835915
crackle	56	0.0007899683	0.1135741286
crackle	57	-0.0045827384	0.1021414487
crackle	58	-0.0072639584	0.1047914577
crackle	59	0.0016760324	0.1074881429
crackle	60	-0.0005589446	0.0944817883
crackle	61	0.0055550812	0.0981337242
crackle	62	0.0034511121	0.1000333927
crackle	63	0.0009261500	0.0962463183
crackle	64	-0.0083791354	0.0976275721
crackle	65	-0.0027463361	0.0918197711
crackle	66	-0.0014918582	0.0945030951
crackle	67	0.0018144976	0.0939464865
crackle	68	-0.0038037810	0.0900294925
crackle	69	-0.0013997100	0.0905604897
crackle	70	-0.0083853454	0.0853514033
crackle	71	-0.0080767210	0.0830031337
crackle	72	-0.0029679567	0.0795040173
crackle	73	0.0004890588	0.0800754387
crackle	74	0.0022821574	0.0799473110
crackle	75	0.0004149262	0.0771794444
crackle	76	-0.0005397432	0.0764222584
crackle	77	-0.0009396022	0.0756506910
crackle	78	-0.0003343553	0.0708147608
crackle	79	0.0014786462	0.0720524696
crackle	80	-0.0030255036	0.0721307620
crackle	81	-0.0050093357	0.0678927260
crackle	82	0.0012145819	0.0712972966
crackle	83	-0.0032132674	0.0686533315
crackle	84	-0.0045864206	0.0636604536
crackle	85	-0.0021950726	0.0678120974
crackle	86	0.0012864579	0.0628325825
crackle	87	-0.0014251911	0.0653728738
crackle	88	0.0039632421	0.0653209869
crackle	89	0.0020193343	0.0646049919
crackle	90	0.0018588250	0.0599399820
crackle	91	-0.0016074704	0.0590730249
crackle	92	-0.0007080527	0.0569904754
crackle	93	-0.0007999377	0.0573214135
crackle	94	-0.0030862921	0.0598481574
crackle	95	0.0006039479	0.0553290043
crackle	96	-0.0003658809	0.0557333931
crackle	97	-0.0000912554	0.0557558162
crackle	98	0.0020501821	0.0569571391
crackle	99	-0.0063845524	0.0535667924
crackle	100	-0.0016640020	0.0536219461
crackle	101	0.0036228000	0.0549100988
crackle	102	0.0019512992	0.0522398406
crackle	103	-0.0035038718	0.0514909522
crackle	104	-0.0001189162	0.0515162574
crackle	105	0.0018561068	0.0474396591
crackle	106	-0.0010160748	0.0499486157
crackle	107	-0.0000726004	0.0475075773
crackle	108	0.0042436823	0.0459189225
crackle	109	0.0013722371	0.0466383642
crackle	110	0.0019315592	0.0441418766
crackle	111	-0.0007247793	0.0445174958
crackle	112	-0.0014044866	0.0437820260
crackle	113	0.0004685023	0.0421203243
crackle	114	0.0016906826	0.0434186127
crackle	115	-0.0011111850	0.0407688115
crackle	116	0.0036392943	0.0403439999
crackle	117	0.0004194991	0.0383827910
crackle	118	0.0010237543	0.0409421996
crackle	119	0.0006809067	0.0402747250
crackle	120	-0.0010479826	0.0401410380
crackle	121	0.0001711333	0.0400334589
crackle	122	-0.0004232133	0.0368199713
crackle	123	-0.0000407143	0.0354318392
crackle	124	-0.0002584285	0.0343025474
crackle	125	-0.0009943078	0.0352817305
crackle	126	0.0010186895	0.0337679562
crackle	127	0.0020622806	0.0361609373
crackle	128	-0.0012292779	0.0317584338
crackle	129	-0.0015061423	0.0352155846
crackle	130	0.0011112538	0.0353256267
crackle	131	0.0008229864	0.0334918777
crackle	132	0.0027237670	0.0330875333
crackle	133	-0.0004212090	0.0321485768
crackle	134	0.0007310876	0.0317722993
crackle	135	0.0005157351	0.0308722130
crackle	136	0.0018348380	0.0314502457
crackle	137	-0.0012969088	0.0311455077
crackle	138	-0.0004336097	0.0310617885
crackle	139	0.0011076137	0.0297137278
crackle	140	-0.0001866731	0.0301111968
crackle	141	0.0002337485	0.0300398946
crackle	142	-0.0014046754	0.0287292657
crackle	143	-0.0001729392	0.0277108204
crackle	144	0.0002716943	0.0276760469
crackle	145	0.0012768140	0.0285146416
crackle	146	-0.0001819080	0.0270146602
crackle	147	-0.0004947742	0.0284967280
crackle	148	-0.0014381420	0.0256034327
crackle	149	0.0023172923	0.0258219919
crackle	150	0.0023954646	0.0254275801
crackle	151	0.0008050613	0.0259577041
crackle	152	0.0003495452	0.0262914160
crackle	153	-0.0002883119	0.0260470536
crackle	154	0.0013029470	0.0263624899
crackle	155	-0.0002698439	0.0264260896
crackle	156	0.0007136080	0.0309285124
crackle	157	-0.0002864673	0.0280060804
crackle	158	-0.0001699201	0.0247440211
crackle	159	-0.0003575350	0.0279598286
crackle	160	0.0005176605	0.0244580378
crackle	161	0.0001645887	0.0235503042
crackle	162	-0.0001297638	0.0232293770
crackle	163	-0.0001201891	0.0225207597
crackle	164	-0.0005454079	0.0232529778
crackle	165	-0.0007553449	0.0242585434
crackle	166	0.0001748571	0.0225223687
crackle	167	0.0004685008	0.0384020263
crackle	168	0.0004560624	0.0269718146
crackle	169	0.0010135361	0.0256712132
crackle	170	-0.0004046727	0.0224415904
crackle	171	0.0001861911	0.0224203528
crackle	172	-0.0007810518	0.0196875465
crackle	173	-0.0007615320	0.0206867624
crackle	174	0.0006800448	0.0195708245
crackle	175	-0.0002605496	0.0194153777
crackle	176	0.0001024320	0.0174492662
crackle	177	0.0001343006	0.0137753005
crackle	178	-0.0000596403	0.0096140676
crackle	179	-0.0000242913	0.0146144760
crackle	180	-0.0002350889	0.0155407612
crackle	181	0.0002492872	0.0176803174
crackle	182	0.0004136924	0.0170571557
crackle	183	-0.0005397643	0.0171873479
crackle	184	-0.0005143071	0.0161961566
wheeze	1	0.5859652305	1.4133340680
wheeze	2	0.1227889139	0.9238902429
wheeze	3	0.0045802470	0.7455443574
wheeze	4	-0.0400230309	0.5358459103
wheeze	5	-0.1012081696	0.5329633830
wheeze	6	-0.0696773484	0.4340445491
wheeze	7	-0.0234314199	0.4161867375
wheeze	8	0.0411667116	0.3956997164
wheeze	9	-0.0595267790	0.3870406563
wheeze	10	-0.0157211465	0.3244295205
wheeze	11	-0.0120859276	0.2729704524
wheeze	12	-0.0128282218	0.2916947664
wheeze	13	-0.0063858007	0.2705592675
wheeze	14	0.0512512266	0.2737164027
wheeze	15	-0.0284554870	0.2344212972
wheeze	16	-0.0040536366	0.2271237986
wheeze	17	-0.0195551451	0.2187989355
wheeze	18	-0.0041439034	0.2255755897
wheeze	19	0.0026237988	0.2045407648
wheeze	20	0.0068238260	0.2085030766
wheeze	21	0.0176799820	0.2098924894
wheeze	22	-0.0171660445	0.1862028914
wheeze	23	-0.0073545320	0.2050212173
wheeze	24	-0.0036186584	0.1862909036
wheeze	25	-0.0047857471	0.1722464492
wheeze	26	0.0078664286	0.1586190128
wheeze	27	0.0089890722	0.1667420428
wheeze	28	0.0263015313	0.1528816131
wheeze	29	-0.0104413583	0.1513387599
wheeze	30	0.0239318983	0.1617498897
wheeze	31	-0.0134562171	0.1507663274
wheeze	32	-0.0019730018	0.1458567118
wheeze	33	-0.0027461822	0.1466375942
wheeze	34	-0.0014484228	0.1416430254
wheeze	35	0.0010311401	0.1385048011
wheeze	36	0.0041561787	0.1394972336
wheeze	37	-0.0002164401	0.1332000666
wheeze	38	-0.0051817349	0.1330145203
wheeze	39	0.0004209085	0.1310847753
wheeze	40	0.0003829731	0.1279750759
wheeze	41	-0.0005444843	0.1407653558
wheeze	42	-0.0051529839	0.1321387385
wheeze	43	0.0142551628	0.1232812484
wheeze	44	-0.0080936890	0.1328585834
wheeze	45	-0.0074933765	0.1243837851
wheeze	46	0.0054437996	0.1220765910
wheeze	47	-0.0065397200	0.1217236486
wheeze	48	0.0031175049	0.1231459345
wheeze	49	-0.0031035964	0.1209752627
wheeze	50	-0.0020655215	0.1179042454
wheeze	51	0.0015573414	0.1200355236
wheeze	52	-0.0000271629	0.1143160995
wheeze	53	0.0043259767	0.1176669823
wheeze	54	-0.0027799089	0.1167974415
wheeze	55	-0.0007203831	0.1134108201
wheeze	56	-0.0013505904	0.1122453842
wheeze	57	-0.0017442403	0.1158900017
wheeze	58	0.0030722337	0.1124823592
wheeze	59	-0.0005196005	0.1107581794
wheeze	60	-0.0058862158	0.1127427173
wheeze	61	0.0007459973	0.1046753369
wheeze	62	0.0030015187	0.0979777927
wheeze	63	0.0000825160	0.1012961198
wheeze	64	0.0125429393	0.1011715763
wheeze	65	-0.0004486576	0.1023210413
wheeze	66	-0.0065162011	0.0969545365
wheeze	67	-0.0053219101	0.0972956272
wheeze	68	-0.0008349827	0.0913596218
wheeze	69	-0.0017973844	0.0896784154
wheeze	70	0.0117275031	0.0919733477
wheeze	71	0.0062174358	0.0876110127
wheeze	72	0.0043966882	0.0878894825
wheeze	73	-0.0008916535	0.0887342006
wheeze	74	0.0059347998	0.0860403728
wheeze	75	0.0009662110	0.0853490534
wheeze	76	-0.0016427793	0.0800012181
wheeze	77	0.0014869308	0.0809502707
wheeze	78	-0.0007198273	0.0802522208
wheeze	79	0.0019583817	0.0759316024
wheeze	80	-0.0033047993	0.0750229369
wheeze	81	-0.0001021819	0.0762878423
wheeze	82	-0.0036791078	0.0747770299
wheeze	83	0.0004072190	0.0717743119
wheeze	84	0.0002711741	0.0738278307
wheeze	85	-0.0015345842	0.0705335745
wheeze	86	-0.0005266721	0.0739269850
wheeze	87	-0.0018615296	0.0687605689
wheeze	88	-0.0006584571	0.0674495773
wheeze	89	-0.0026679898	0.0667260005
wheeze	90	0.0014737931	0.0656387721
wheeze	91	0.0000750417	0.0649697428
wheeze	92	-0.0007655542	0.0657545879
wheeze	93	0.0026616858	0.0621894278
wheeze	94	0.0001989087	0.0614120308
wheeze	95	-0.0001843324	0.0591337833
wheeze	96	-0.0034450118	0.0627622473
wheeze	97	-0.0009490132	0.0578131744
wheeze	98	0.0023155662	0.0538042577
wheeze	99	0.0036793774	0.0564914521
wheeze	100	0.0030263162	0.0519731421
wheeze	101	-0.0013412709	0.0520433609
wheeze	102	-0.0039083249	0.0528596243
wheeze	103	0.0010921129	0.0523792221
wheeze	104	0.0007480956	0.0515495542
wheeze	105	-0.0012039414	0.0545802792
wheeze	106	0.0008195783	0.0508877856
wheeze	107	0.0007050103	0.0514094268
wheeze	108	-0.0047745493	0.0500854983
wheeze	109	-0.0011974826	0.0476708062
wheeze	110	0.0008252215	0.0492702945
wheeze	111	0.0011833420	0.0488620661
wheeze	112	0.0014666475	0.0479557100
wheeze	113	0.0004817654	0.0486158797
wheeze	114	-0.0019770123	0.0460916982
wheeze	115	0.0010004358	0.0457584023
wheeze	116	-0.0013126671	0.0445200842
wheeze	117	0.0011628519	0.0447192732
wheeze	118	-0.0012533772	0.0427386990
wheeze	119	-0.0017475244	0.0434775077
wheeze	120	-0.0000268315	0.0420889194
wheeze	121	-0.0010047843	0.0425422504
wheeze	122	-0.0005430947	0.0410335070
wheeze	123	0.0000486145	0.0395737504
wheeze	124	0.0012430271	0.0406925087
wheeze	125	0.0006267736	0.0382147510
wheeze	126	0.0009063221	0.0389675855
wheeze	127	-0.0015925814	0.0353273039
wheeze	128	0.0000131774	0.0387176159
wheeze	129	0.0016310715	0.0372776272
wheeze	130	-0.0000306479	0.0323616469
wheeze	131	0.0003342746	0.0353610818
wheeze	132	-0.0025488464	0.0354428047
wheeze	133	-0.0007629207	0.0339494736
wheeze	134	-0.0019066515	0.0353389369
wheeze	135	-0.0014326310	0.0366996206
wheeze	136	-0.0016222195	0.0346967530
wheeze	137	0.0026340027	0.0328028653
wheeze	138	-0.0007979573	0.0335732362
wheeze	139	-0.0012318924	0.0322874011
wheeze	140	-0.0012257779	0.0319375788
wheeze	141	-0.0019978000	0.0305714348
wheeze	142	0.0004732278	0.0305463781
wheeze	143	-0.0002889122	0.0290239434
wheeze	144	-0.0019959752	0.0306535970
wheeze	145	0.0007880432	0.0294377658
wheeze	146	0.0016931626	0.0302453274
wheeze	147	-0.0010166795	0.0287823331
wheeze	148	0.0009995789	0.0304989549
wheeze	149	-0.0020572095	0.0288142147
wheeze	150	-0.0023811514	0.0282417130
wheeze	151	-0.0000522916	0.0281161766
wheeze	152	-0.0000915992	0.0268569019
wheeze	153	-0.0005766895	0.0266735003
wheeze	154	-0.0010051802	0.0261254242
wheeze	155	-0.0007795749	0.0267834552
wheeze	156	-0.0000524558	0.0248715617
wheeze	157	0.0006522899	0.0245508754
wheeze	158	-0.0014625154	0.0259668214
wheeze	159	0.0003360565	0.0255638706
wheeze	160	-0.0001735317	0.0262594089
wheeze	161	-0.0000937963	0.0255602209
wheeze	162	-0.0004542762	0.0250175713
wheeze	163	0.0007028049	0.0243715604
wheeze	164	0.0004818222	0.0233062882
wheeze	165	0.0015122451	0.0240692493
wheeze	166	-0.0005539857	0.0238851271
wheeze	167	-0.0000368797	0.0088014072
wheeze	168	-0.0008482162	0.0232895715
wheeze	169	-0.0000681578	0.0229270812
wheeze	170	0.0008724904	0.0220469689
wheeze	171	0.0002587297	0.0204340773
wheeze	172	0.0001943633	0.0214996241
wheeze	173	-0.0004758823	0.0213758516
wheeze	174	-0.0002122685	0.0209585375
wheeze	175	-0.0007367855	0.0213593283
wheeze	176	0.0002060765	0.0242987428
wheeze	177	0.0008275415	0.0316406086
wheeze	178	0.0006328094	0.0303842772
wheeze	179	0.0001438074	0.0271893010
wheeze	180	-0.0001434155	0.0267319619
wheeze	181	-0.0012846409	0.0207994356
wheeze	182	-0.0001091218	0.0197249915
wheeze	183	0.0002360170	0.0193023381
wheeze	184	-0.0003926808	0.0177695099
both	1	0.4177344081	1.2750197243
both	2	-0.0270525896	0.8320980556
both	3	-0.0480429962	0.6877108263
both	4	-0.0155007120	0.4991127023
both	5	-0.1769779858	0.4347242203
both	6	-0.0678260877	0.4157332947
both	7	0.0397151224	0.4067896620
both	8	0.0262540529	0.3579970415
both	9	-0.0376763081	0.3657584787
both	10	-0.0355836362	0.3041425974
both	11	-0.0339139209	0.2622434843
both	12	-0.0607127815	0.2604758497
both	13	-0.0168787698	0.2666887892
both	14	-0.0301743667	0.2540958445
both	15	-0.0397672493	0.2243392336
both	16	-0.0114469601	0.2313326529
both	17	-0.0038249933	0.2213966542
both	18	0.0264784713	0.2082606340
both	19	-0.0209305859	0.1945859449
both	20	0.0082751489	0.1851278907
both	21	0.0046081087	0.1914453663
both	22	-0.0158832935	0.1800313014
both	23	-0.0033329278	0.1813404979
both	24	-0.0055070063	0.1740814176
both	25	0.0031762589	0.1680386158
both	26	-0.0033335168	0.1560693844
both	27	0.0062100838	0.1650776327
both	28	0.0194788155	0.1462502662
both	29	-0.0103327466	0.1567234435
both	30	-0.0132357776	0.1412514333
both	31	0.0059728351	0.1375518331
both	32	-0.0001122457	0.1380300789
both	33	0.0016153925	0.1453986047
both	34	-0.0065191817	0.1354658895
both	35	-0.0009064081	0.1343480715
both	36	-0.0051588629	0.1334516855
both	37	-0.0016322639	0.1348066299
both	38	-0.0107568668	0.1295281233
both	39	-0.0025070163	0.1289100551
both	40	-0.0004995198	0.1284696341
both	41	-0.0029368140	0.1230409252
both	42	0.0048608564	0.1279594663
both	43	-0.0059702033	0.1252455351
both	44	-0.0053325774	0.1247845459
both	45	0.0101876386	0.1173015423
both	46	-0.0025843253	0.1214771941
both	47	0.0095459904	0.1207857689
both	48	0.0012590352	0.1196978273
both	49	0.0015490910	0.1191500041
both	50	0.0020011935	0.1198988065
both	51	-0.0013704714	0.1148178849
both	52	-0.0000373296	0.1183248472
both	53	-0.0007298407	0.1129530594
both	54	0.0039903045	0.1156890357
both	55	0.0000825017	0.1137513135
both	56	-0.0015034912	0.1098784278
both	57	0.0012757538	0.1079793144
both	58	-0.0038807482	0.1091173167
both	59	-0.0003283476	0.1082394935
both	60	0.0033138757	0.1027083373
both	61	0.0056962974	0.1004728785
both	62	-0.0071349746	0.0960291581
both	63	-0.0013963077	0.0979579802
both	64	0.0004972342	0.0984248091
both	65	0.0033736525	0.0929513868
both	66	0.0019747640	0.0954574954
both	67	0.0040513410	0.0903733461
both	68	0.0058443190	0.0852174739
both	69	0.0052434605	0.0853081767
both	70	-0.0051866853	0.0853332737
both	71	0.0015030973	0.0823546784
both	72	0.0074690723	0.0858651189
both	73	0.0030175814	0.0795807726
both	74	-0.0042146175	0.0818510797
both	75	0.0035320706	0.0807778453
both	76	0.0009938448	0.0766409191
both	77	-0.0009026650	0.0747436933
both	78	-0.0004825623	0.0762211488
both	79	-0.0042261381	0.0686191697
both	80	0.0018868301	0.0729198937
both	81	-0.0007054420	0.0691930331
both	82	0.0034232099	0.0739652578
both	83	0.0047690078	0.0678027100
both	84	0.0028904229	0.0682508166
both	85	-0.0039721758	0.0654422075
both	86	0.0030852188	0.0673807216
both	87	0.0042378236	0.0667877601
both	88	-0.0022603384	0.0650390671
both	89	-0.0015396568	0.0641862153
both	90	-0.0039436084	0.0616332290
both	91	-0.0021878866	0.0642925722
both	92	0.0023892825	0.0585257330
both	93	0.0051604038	0.0586792332
both	94	-0.0008987093	0.0572691379
both	95	-0.0005591762	0.0580468257
both	96	0.0001505830	0.0559398685
both	97	0.0022870825	0.0544332434
both	98	-0.0020410647	0.0538065359
both	99	-0.0006439925	0.0545561819
both	100	-0.0001473811	0.0514872562
both	101	-0.0006822749	0.0506220038
both	102	0.0004136549	0.0499071812
both	103	0.0050615646	0.0503425729
both	104	-0.0021489412	0.0479345182
both	105	-0.0006253552	0.0475119441
both	106	0.0008229075	0.0480472329
both	107	0.0009517750	0.0473205646
both	108	0.0010153707	0.0474417710
both	109	-0.0009383944	0.0453796057
both	110	-0.0006930303	0.0435639882
both	111	-0.0012707647	0.0442199843
both	112	0.0002660489	0.0438956174
both	113	-0.0015991593	0.0438888227
both	114	0.0025028215	0.0435742501
both	115	0.0002226435	0.0424495562
both	116	-0.0022777104	0.0414242483
both	117	-0.0010713912	0.0402517026
both	118	-0.0013426801	0.0418324091
both	119	0.0001230453	0.0392862141
both	120	0.0015845324	0.0406052753
both	121	0.0013599126	0.0376600484
both	122	-0.0000523680	0.0382617934
both	123	0.0018909483	0.0369088977
both	124	-0.0014968212	0.0355205395
both	125	-0.0006165096	0.0348538343
both	126	-0.0013542448	0.0342816979
both	127	-0.0017080558	0.0343264021
both	128	0.0008075379	0.0341936142
both	129	0.0008744441	0.0343107908
both	130	-0.0007432937	0.0311378379
both	131	-0.0019830520	0.0327514135
both	132	0.0011815215	0.0315006139
both	133	0.0009416939	0.0314871531
both	134	-0.0014347515	0.0334499289
both	135	-0.0013658756	0.0324077219
both	136	-0.0011062900	0.0321529707
both	137	-0.0010007341	0.0303149209
both	138	0.0010768206	0.0323581743
both	139	-0.0006255168	0.0300083241
both	140	0.0007060435	0.0300662571
both	141	-0.0014374009	0.0308697586
